,precision,recall,f1-score,support
Chevrolet Silverado 2500HD Regular Cab 2012,0.8181818181818182,0.47368421052631576,0.6,38.0
Chevrolet Sonic Sedan 2012,0.9555555555555556,0.9772727272727273,0.9662921348314608,44.0
Chevrolet Tahoe Hybrid SUV 2012,0.7692307692307693,0.8108108108108109,0.7894736842105263,37.0
Chevrolet TrailBlazer SS 2009,0.9512195121951219,0.975,0.9629629629629629,40.0
Chevrolet Traverse SUV 2012,0.9148936170212766,0.9772727272727273,0.945054945054945,44.0
Chrysler 300 SRT-8 2010,0.9333333333333333,0.875,0.9032258064516129,48.0
Chrysler Aspen SUV 2009,0.84,0.9767441860465116,0.9032258064516129,43.0
Chrysler Crossfire Convertible 2008,0.875,0.9767441860465116,0.923076923076923,43.0
Chrysler PT Cruiser Convertible 2008,0.9574468085106383,1.0,0.9782608695652174,45.0
Chrysler Sebring Convertible 2010,0.9,0.9,0.9,40.0
Chrysler Town and Country Minivan 2012,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0
Daewoo Nubira Wagon 2002,0.9166666666666666,0.9777777777777777,0.946236559139785,45.0
Dodge Caliber Wagon 2007,0.625,0.9523809523809523,0.7547169811320755,42.0
Dodge Caliber Wagon 2012,0.8,0.3,0.4363636363636363,40.0
Dodge Caravan Minivan 1997,0.975609756097561,0.9302325581395349,0.9523809523809524,43.0
Dodge Challenger SRT8 2011,1.0,0.9743589743589743,0.9870129870129869,39.0
Dodge Charger SRT-8 2009,0.9302325581395349,0.9523809523809523,0.9411764705882352,42.0
Dodge Charger Sedan 2012,0.926829268292683,0.926829268292683,0.926829268292683,41.0
Dodge Dakota Club Cab 2007,0.9705882352941176,0.868421052631579,0.9166666666666667,38.0
Dodge Dakota Crew Cab 2010,0.9459459459459459,0.8536585365853658,0.8974358974358975,41.0
Dodge Durango SUV 2007,0.9743589743589743,0.8444444444444444,0.9047619047619048,45.0
Dodge Durango SUV 2012,1.0,0.9767441860465116,0.988235294117647,43.0
Dodge Journey SUV 2012,0.9111111111111111,0.9318181818181818,0.9213483146067416,44.0
Dodge Magnum Wagon 2008,0.975,0.975,0.975,40.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.9285714285714286,0.9285714285714286,0.9285714285714286,42.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.9210526315789473,0.7954545454545454,0.8536585365853658,44.0
Dodge Sprinter Cargo Van 2009,0.8918918918918919,0.8461538461538461,0.868421052631579,39.0
Eagle Talon Hatchback 1998,0.9534883720930233,0.8913043478260869,0.9213483146067417,46.0
FIAT 500 Abarth 2012,1.0,1.0,1.0,27.0
FIAT 500 Convertible 2012,0.9705882352941176,1.0,0.9850746268656716,33.0
Ferrari 458 Italia Convertible 2012,0.918918918918919,0.8717948717948718,0.8947368421052632,39.0
Ferrari 458 Italia Coupe 2012,0.8604651162790697,0.8809523809523809,0.8705882352941177,42.0
Ferrari California Convertible 2012,0.9285714285714286,1.0,0.962962962962963,39.0
Ferrari FF Coupe 2012,0.9024390243902439,0.8809523809523809,0.8915662650602411,42.0
Fisker Karma Sedan 2012,0.9347826086956522,1.0,0.9662921348314606,43.0
Ford E-Series Wagon Van 2012,0.9487179487179487,1.0,0.9736842105263158,37.0
Ford Edge SUV 2012,0.9333333333333333,0.9767441860465116,0.9545454545454545,43.0
Ford Expedition EL SUV 2009,0.9767441860465116,0.9545454545454546,0.9655172413793104,44.0
Ford F-150 Regular Cab 2007,0.86,0.9555555555555556,0.9052631578947369,45.0
Ford F-150 Regular Cab 2012,0.9512195121951219,0.9285714285714286,0.9397590361445782,42.0
Ford F-450 Super Duty Crew Cab 2012,1.0,0.9512195121951219,0.975,41.0
Ford Fiesta Sedan 2012,0.7777777777777778,1.0,0.8750000000000001,42.0
Ford Focus Sedan 2007,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
Ford Freestar Minivan 2007,0.8958333333333334,0.9772727272727273,0.9347826086956522,44.0
Ford GT Coupe 2006,0.9545454545454546,0.9333333333333333,0.9438202247191012,45.0
Ford Mustang Convertible 2007,0.9555555555555556,0.9772727272727273,0.9662921348314608,44.0
Ford Ranger SuperCab 2011,1.0,0.9761904761904762,0.9879518072289156,42.0
GMC Acadia SUV 2012,0.9555555555555556,0.9772727272727273,0.9662921348314608,44.0
GMC Canyon Extended Cab 2012,0.6491228070175439,0.925,0.7628865979381444,40.0
GMC Savana Van 2012,0.9019607843137255,0.6764705882352942,0.773109243697479,68.0
GMC Terrain SUV 2012,0.9512195121951219,0.9512195121951219,0.9512195121951219,41.0
GMC Yukon Hybrid SUV 2012,0.875,0.8333333333333334,0.8536585365853658,42.0
Geo Metro Convertible 1993,1.0,0.8863636363636364,0.9397590361445783,44.0
